年月,基準金利,利率（税引前）,利率（税引後）
2003/02,0.89,0.09,0.072
2003/03,0.8,0.05,0.04
2003/06,0.51,0.05,0.04
2003/09,1.57,0.77,0.616
2003/12,1.42,0.62,0.496
2004/03,1.35,0.55,0.44
2004/06,1.54,0.74,0.592
2004/09,1.54,0.74,0.592
2004/12,1.47,0.67,0.536
2005/03,1.53,0.73,0.584
2005/06,1.25,0.45,0.36
2005/09,1.35,0.55,0.44
2005/12,1.48,0.68,0.544
2006/03,1.65,0.85,0.68
2006/06,1.9,1.1,0.88
2006/09,1.72,0.92,0.736
2006/12,1.64,0.84,0.672
2007/03,1.67,0.87,0.696
2007/06,1.81,1.01,0.808
2007/09,1.65,0.85,0.68
2007/12,1.48,0.68,0.544
2008/03,1.37,0.57,0.456
2008/06,1.8,1.0,0.8
2008/09,1.49,0.69,0.552
2008/12,1.38,0.58,0.464
2009/03,1.3,0.5,0.4
2009/06,1.53,0.73,0.584
2009/09,1.33,0.53,0.424
2009/12,1.25,0.45,0.36
2010/03,1.33,0.53,0.424
2010/06,1.28,0.48,0.384
2010/09,1.05,0.25,0.2
2010/12,1.19,0.39,0.312
2011/03,1.31,0.51,0.408
2011/06,1.17,0.77,0.616
2011/09,1.09,0.72,0.576
2011/12,1.09,0.72,0.576
2012/03,0.97,0.64,0.512
2012/06,0.86,0.57,0.4542045
2012/09,0.81,0.53,0.4223305
2012/12,0.73,0.48,0.382488
2013/03,0.64,0.42,0.334677
2013/06,0.86,0.57,0.4542045
2013/09,0.77,0.51,0.4063935
2013/12,0.65,0.43,0.3426455
2014/01,0.72,0.48,0.382488
2014/02,0.6,0.4,0.31874
2014/03,0.6,0.4,0.31874
2014/04,0.63,0.42,0.334677
2014/05,0.6,0.4,0.31874
2014/06,0.61,0.4,0.31874
2014/07,0.56,0.37,0.2948345
2014/08,0.52,0.34,0.270929
2014/09,0.52,0.34,0.270929
2014/10,0.52,0.34,0.270929
2014/11,0.44,0.29,0.2310865
2014/12,0.47,0.31,0.2470235
2015/01,0.3,0.2,0.15937
2015/02,0.31,0.2,0.15937
2015/03,0.4,0.26,0.207181
2015/04,0.37,0.24,0.191244
2015/05,0.43,0.28,0.223118
2015/06,0.45,0.3,0.239055
2015/07,0.51,0.34,0.270929
2015/08,0.4,0.26,0.207181
2015/09,0.42,0.28,0.223118
2015/10,0.34,0.22,0.175307
2015/11,0.32,0.21,0.1673385
2015/12,0.32,0.21,0.1673385
2016/01,0.26,0.17,0.1354645
2016/02,0.08,0.05,0.0398425
2016/03,-0.02,0.05,0.0398425
2016/04,-0.07,0.05,0.0398425
2016/05,-0.1,0.05,0.0398425
2016/06,-0.1,0.05,0.0398425
2016/07,-0.25,0.05,0.0398425
2016/08,-0.05,0.05,0.0398425
2016/09,-0.05,0.05,0.0398425
2016/10,-0.06,0.05,0.0398425
2016/11,-0.06,0.05,0.0398425
2016/12,0.03,0.05,0.0398425
2017/01,0.06,0.05,0.0398425
2017/02,0.09,0.06,0.047811
2017/03,0.08,0.05,0.0398425
2017/04,0.06,0.05,0.0398425
2017/05,0.03,0.05,0.0398425
2017/06,0.05,0.05,0.0398425
2017/07,0.08,0.05,0.0398425
2017/08,0.07,0.05,0.0398425
2017/09,0.01,0.05,0.0398425
2017/10,0.08,0.05,0.0398425
2017/11,0.06,0.05,0.0398425
2017/12,0.06,0.05,0.0398425
2018/01,0.08,0.05,0.0398425
2018/02,0.09,0.06,0.047811
2018/03,0.06,0.05,0.0398425
2018/04,0.03,0.05,0.0398425
2018/05,0.05,0.05,0.0398425
2018/06,0.05,0.05,0.0398425
2018/07,0.04,0.05,0.0398425
2018/08,0.13,0.09,0.0717165
2018/09,0.11,0.07,0.0557795
2018/10,0.14,0.09,0.0717165
2018/11,0.14,0.09,0.0717165
2018/12,0.07,0.05,0.0398425
2019/01,0.02,0.05,0.0398425
2019/02,-0.01,0.05,0.0398425
2019/03,0.0,0.05,0.0398425
2019/04,-0.06,0.05,0.0398425
2019/05,-0.06,0.05,0.0398425
2019/06,-0.11,0.05,0.0398425
2019/07,-0.14,0.05,0.0398425
2019/08,-0.15,0.05,0.0398425
2019/09,-0.27,0.05,0.0398425
2019/10,-0.16,0.05,0.0398425
2019/11,-0.1,0.05,0.0398425
2019/12,-0.04,0.05,0.0398425
2020/01,-0.01,0.05,0.0398425
2020/02,-0.05,0.05,0.0398425
2020/03,-0.1,0.05,0.0398425
2020/04,0.02,0.05,0.0398425
2020/05,0.0,0.05,0.0398425
2020/06,0.0,0.05,0.0398425
2020/07,0.06,0.05,0.0398425
2020/08,0.02,0.05,0.0398425
2020/09,0.03,0.05,0.0398425
2020/10,0.02,0.05,0.0398425
2020/11,0.05,0.05,0.0398425
2020/12,0.02,0.05,0.0398425
2021/01,0.02,0.05,0.0398425
2021/02,0.05,0.05,0.0398425
2021/03,0.13,0.09,0.0717165
2021/04,0.12,0.08,0.063748
2021/05,0.07,0.05,0.0398425
2021/06,0.08,0.05,0.0398425
2021/07,0.06,0.05,0.0398425
2021/08,0.01,0.05,0.0398425
2021/09,0.02,0.05,0.0398425
2021/10,0.05,0.05,0.0398425
2021/11,0.11,0.07,0.0557795
2021/12,0.06,0.05,0.0398425
2022/01,0.1,0.07,0.0557795
2022/02,0.17,0.11,0.0876535
2022/03,0.18,0.12,0.095622
2022/04,0.2,0.13,0.1035905
2022/05,0.25,0.17,0.1354645
2022/06,0.24,0.16,0.127496
2022/07,0.25,0.17,0.1354645
2022/08,0.17,0.11,0.0876535
2022/09,0.24,0.16,0.127496
2022/10,0.25,0.17,0.1354645
2022/11,0.25,0.17,0.1354645
2022/12,0.25,0.17,0.1354645
2023/01,0.5,0.33,0.2629605
2023/02,0.49,0.32,0.254992
2023/03,0.5,0.33,0.2629605
2023/04,0.46,0.3,0.239055
2023/05,0.43,0.28,0.223118
2023/06,0.44,0.29,0.2310865
2023/07,0.43,0.28,0.223118
2023/08,0.59,0.39,0.3107715
2023/09,0.65,0.43,0.3426455
2023/10,0.77,0.51,0.4063935
2023/11,0.91,0.6,0.47811
2023/12,0.7,0.46,0.366551
2024/01,0.6,0.4,0.31874
2024/02,0.74,0.49,0.3904565
2024/03,0.71,0.47,0.3745195
2024/04,0.76,0.5,0.398425
2024/05,0.86,0.57,0.4542045
2024/06,1.04,0.69,0.5498265
2024/07,1.09,0.72,0.573732
2024/08,0.93,0.61,0.4860785
2024/09,0.92,0.61,0.4860785
2024/10,0.87,0.57,0.4542045
2024/11,0.99,0.65,0.5179525
2024/12,1.08,0.71,0.5657635
2025/01,1.14,0.75,0.5976375
2025/02,1.26,0.83,0.6613855
2025/03,1.39,0.92,0.733102
2025/04,1.41,0.93,0.7410705
2025/05,1.28,0.84,0.669354
2025/06,1.51,1.0,0.79685
2025/07,1.45,0.96,0.764976
2025/08,1.47,0.97,0.7729445
2025/09,1.61,1.06,0.844661
2025/10,1.64,1.08,0.860598
2025/11,1.66,1.1,0.876535
2025/12,1.86,1.23,0.9801255
2026/01,2.1,1.39,1.1076215
2026/02,2.24,1.48,1.179338
2026/03,2.12,1.4,1.11559
2026/04,2.35,1.55,1.2351175
2026/05,2.53,1.67,1.3307395
2026/06,2.63,1.74,1.386519
2026/07,2.73,1.8,1.43433
2026/08,2.83,1.87,1.4901095
